OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Never_mean	Daily_mean
Glycerolipid metabolism	0.0225580167381	0.880612139672	1.0	1.0	28748.6771255	28880.6551724
RNA polymerase	0.021071423505	0.884584552436	1.0	1.0	11597.5283401	11641.7521552
Carbon fixation in photosynthetic organisms	0.020375849253	0.886492366322	1.0	1.0	49646.2601215	49887.5452586
PPAR signaling pathway	0.0193170650004	0.889461334847	1.0	1.0	9454.02024291	9431.37715517
Glutamatergic synapse	0.0192797718664	0.889567403619	1.0	1.0	8961.42206478	9013.23060345
Carbon fixation pathways in prokaryotes	0.019261132509	0.889620456691	1.0	1.0	75664.7267206	75842.4698276
Limonene and pinene degradation	0.018835082998	0.890840330341	1.0	1.0	6926.81882591	6843.70043103
DNA replication	0.0147549550419	0.903318794354	1.0	1.0	48201.4352227	48438.4375
Transcription factors	0.0136200871382	0.907093725689	1.0	1.0	123721.030364	123918.252155
Pertussis	0.0135575111073	0.907306430376	1.0	1.0	2185.6062753	2103.03017241
Photosynthesis - antenna proteins	0.0135424731461	0.907357620617	1.0	1.0	12.6902834008	16.3081896552
Alanine, aspartate and glutamate metabolism	0.0133550965106	0.907997895214	1.0	1.0	85220.6052632	85608.7758621
Isoquinoline alkaloid biosynthesis	0.0121282588636	0.912307565445	1.0	1.0	4197.86336032	4206.01724138
Valine, leucine and isoleucine biosynthesis	0.0105981840143	0.918004652819	1.0	1.0	57589.9321862	57700.6056034
RNA degradation	0.00978533592558	0.921201108731	1.0	1.0	35725.4382591	35813.1293103
Vitamin B6 metabolism	0.0080027851569	0.928717702578	1.0	1.0	15339.2631579	15315.5431034
Fat digestion and absorption	0.00474111822106	0.945104418645	1.0	1.0	0.00708502024291	0.00431034482759
Translation proteins	0.00465824838917	0.945585541443	1.0	1.0	66962.4564777	67075.0237069
Adherens junction	0.00279888990791	0.957807970416	1.0	1.0	0.00202429149798	0.00431034482759
Arrhythmogenic right ventricular cardiomyopathy (ARVC)	0.00279888990791	0.957807970416	1.0	1.0	0.00202429149798	0.00431034482759
Dilated cardiomyopathy (DCM)	0.00279888990791	0.957807970416	1.0	1.0	0.00202429149798	0.00431034482759
Leukocyte transendothelial migration	0.00279888990791	0.957807970416	1.0	1.0	0.00202429149798	0.00431034482759
Phototransduction - fly	0.00279888990791	0.957807970416	1.0	1.0	0.00202429149798	0.00431034482759
Regulation of actin cytoskeleton	0.00279888990791	0.957807970416	1.0	1.0	0.00202429149798	0.00431034482759
Tight junction	0.00279888990791	0.957807970416	1.0	1.0	0.00202429149798	0.00431034482759
Glyoxylate and dicarboxylate metabolism	0.0021071378803	0.963387107501	1.0	1.0	42311.3522267	42183.0021552
Benzoate degradation	0.00125084073601	0.971786917529	1.0	1.0	16770.6093117	16648.2758621
Linoleic acid metabolism	0.000891868866879	0.976175378395	1.0	1.0	5571.17611336	5591.65086207
Transcription machinery	0.000794473312673	0.977513481771	1.0	1.0	81898.5698381	82343.3943966
DNA repair and recombination proteins	0.000646932757402	0.979708095579	1.0	1.0	209019.116397	209512.407328
Sulfur metabolism	0.000554874806141	0.981206944214	1.0	1.0	23544.582996	23389.9956897
N-Glycan biosynthesis	0.000191124309433	0.988969779552	1.0	1.0	1759.77024291	1752.80387931
Isoflavonoid biosynthesis	2.43155317778e-05	0.996065584816	1.0	1.0	20.8744939271	6.87931034483
Base excision repair	1.67587050077e-05	0.996733677394	1.0	1.0	32442.7965587	32467.8362069
Cell cycle - yeast	nan	nan	1.0	nan	0.0	0.0
Cholinergic synapse	nan	nan	1.0	nan	0.0	0.0
Complement and coagulation cascades	nan	nan	1.0	nan	0.0	0.0
ErbB signaling pathway	nan	nan	1.0	nan	0.0	0.0
Fc epsilon RI signaling pathway	nan	nan	1.0	nan	0.0	0.0
GTP-binding proteins	nan	nan	1.0	nan	0.0	0.0
Glioma	nan	nan	1.0	nan	0.0	0.0
Hedgehog signaling pathway	nan	nan	1.0	nan	0.0	0.0
Long-term depression	nan	nan	1.0	nan	0.0	0.0
Long-term potentiation	nan	nan	1.0	nan	0.0	0.0
MAPK signaling pathway	nan	nan	1.0	nan	0.0	0.0
Neurotrophin signaling pathway	nan	nan	1.0	nan	0.0	0.0
Olfactory transduction	nan	nan	1.0	nan	0.0	0.0
Oocyte meiosis	nan	nan	1.0	nan	0.0	0.0
Other types of O-glycan biosynthesis	nan	nan	1.0	nan	0.0	0.0
Pancreatic cancer	nan	nan	1.0	nan	0.0	0.0
Phototransduction	nan	nan	1.0	nan	0.0	0.0
Spliceosome	nan	nan	1.0	nan	0.0	0.0
TGF-beta signaling pathway	nan	nan	1.0	nan	0.0	0.0
Vascular smooth muscle contraction	nan	nan	1.0	nan	0.0	0.0
